#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 02 29 20 36 110  1.0  4.1    MM    MM    MM  MM 1024.5  14.9  17.1    MM   MM   MM    MM
2024 02 29 20 30  20  0.5  2.6    MM    MM    MM  MM 1024.4  14.7  17.1    MM   MM   MM    MM
2024 02 29 20 24  90  2.1  4.6    MM    MM    MM  MM 1024.1  14.6  17.1    MM   MM   MM    MM
2024 02 29 20 18  80  3.1  6.2    MM    MM    MM  MM 1024.1  14.6  17.1    MM   MM   MM    MM
2024 02 29 20 12  80  4.6  6.7    MM    MM    MM  MM 1024.1  14.5  17.1    MM   MM   MM    MM
2024 02 29 20 06  80  4.6  6.7    MM    MM    MM  MM 1024.2  14.4  17.1    MM   MM   MM    MM
2024 02 29 20 00  90  2.6  5.1    MM    MM    MM  MM 1024.4  14.6  17.1    MM   MM -2.6    MM
2024 02 29 19 54  80  2.1  5.7    MM    MM    MM  MM 1024.6  14.7  17.1    MM   MM   MM    MM
2024 02 29 19 48  20  1.0  6.2    MM    MM    MM  MM 1024.4  14.7  17.1    MM   MM   MM    MM
2024 02 29 19 42  80  3.1  6.2    MM    MM    MM  MM 1024.5  14.5  17.0    MM   MM   MM    MM
